PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,BONUS NUMBER
649,204,0,4/1/86,6,20,23,29,32,37,18
649,205,0,8/1/86,9,10,12,18,32,48,31
649,206,0,11/1/86,4,12,21,40,42,45,2
649,207,0,15/1/86,1,10,13,19,25,33,45
649,208,0,18/1/86,11,17,23,26,30,34,4
649,209,0,22/1/86,2,19,26,27,44,47,8
649,210,0,25/1/86,24,26,29,40,44,46,16
649,211,0,29/1/86,3,9,11,37,45,46,6
649,212,0,1/2/86,4,5,9,19,29,31,45
649,213,0,5/2/86,6,26,29,31,32,41,36
649,214,0,8/2/86,2,5,7,36,38,42,32
649,215,0,12/2/86,1,12,15,19,22,30,36
649,216,0,15/2/86,20,22,30,43,46,48,44
649,217,0,19/2/86,5,17,23,35,45,48,39
649,218,0,22/2/86,9,16,19,25,34,36,23
649,219,0,26/2/86,11,15,26,33,40,49,38
649,220,0,1/3/86,7,12,13,14,35,43,20
649,221,0,5/3/86,1,7,17,28,41,45,39
649,222,0,8/3/86,7,24,28,31,37,43,41
649,223,0,12/3/86,9,10,20,22,41,42,23
649,224,0,15/3/86,8,9,34,41,44,47,21
649,225,0,19/3/86,19,25,34,40,42,46,18
649,226,0,22/3/86,5,8,17,20,21,42,44
649,227,0,26/3/86,2,4,25,28,38,46,9
649,228,0,29/3/86,15,22,28,29,42,46,36
649,229,0,2/4/86,5,10,17,21,31,36,40
649,230,0,5/4/86,18,29,32,34,35,46,2
649,231,0,9/4/86,5,19,22,30,39,45,48
649,232,0,12/4/86,17,18,23,32,36,39,10
649,233,0,16/4/86,9,28,29,32,41,49,33
649,234,0,19/4/86,7,17,26,28,42,48,43
649,235,0,23/4/86,4,5,7,25,38,42,43
649,236,0,26/4/86,8,10,24,27,35,43,22
649,237,0,30/4/86,2,9,13,18,20,29,42
649,238,0,3/5/86,12,18,30,38,39,47,6
649,239,0,7/5/86,9,16,22,40,42,47,15
649,240,0,10/5/86,4,10,17,26,39,47,19
649,241,0,14/5/86,8,16,19,26,33,45,10
649,242,0,17/5/86,1,25,34,41,44,49,37
649,243,0,21/5/86,20,25,36,39,43,45,26
649,244,0,24/5/86,2,21,26,28,41,49,5
649,245,0,28/5/86,3,18,21,31,34,37,48
649,246,0,31/5/86,8,16,17,37,40,41,19
649,247,0,4/6/86,3,4,5,14,17,31,37
649,248,0,7/6/86,3,16,21,41,45,46,49
649,249,0,11/6/86,5,14,24,27,36,43,26
649,250,0,14/6/86,3,21,29,37,40,47,30
649,251,0,18/6/86,2,14,18,28,32,43,31
649,252,0,21/6/86,1,8,10,34,42,45,14
649,253,0,25/6/86,1,5,15,33,35,47,24
649,254,0,28/6/86,1,4,20,33,34,37,38
649,255,0,2/7/86,5,16,18,31,46,49,42
649,256,0,5/7/86,7,10,12,32,44,48,21
649,257,0,9/7/86,16,24,25,36,44,45,18
649,258,0,12/7/86,7,17,20,30,33,43,39
649,259,0,16/7/86,7,17,29,31,38,47,27
649,260,0,19/7/86,7,25,28,32,37,43,16
649,261,0,23/7/86,3,13,17,24,32,35,47
649,262,0,26/7/86,3,14,29,34,46,49,48
649,263,0,30/7/86,3,26,39,44,48,49,13
649,264,0,2/8/86,8,14,21,24,38,47,23
649,265,0,6/8/86,1,5,7,10,23,40,47
649,266,0,9/8/86,5,8,14,21,33,34,10
649,267,0,13/8/86,4,5,34,35,40,43,15
649,268,0,16/8/86,14,25,35,40,41,43,12
649,269,0,20/8/86,6,7,9,21,38,43,45
649,270,0,23/8/86,1,4,19,31,45,47,36
649,271,0,27/8/86,7,11,18,33,38,40,32
649,272,0,30/8/86,4,11,25,32,45,46,10
649,273,0,3/9/86,20,27,41,44,47,49,34
649,274,0,6/9/86,8,9,19,35,39,48,20
649,275,0,10/9/86,3,13,18,22,42,43,46
649,276,0,13/9/86,10,14,16,43,44,49,29
649,277,0,17/9/86,9,21,30,32,39,41,27
649,278,0,20/9/86,8,9,11,15,19,25,10
649,279,0,24/9/86,2,12,38,40,42,48,45
649,280,0,27/9/86,4,5,11,19,34,38,27
649,281,0,1/10/86,2,17,24,30,34,39,18
649,282,0,4/10/86,8,14,16,24,26,38,21
649,283,0,8/10/86,3,17,20,22,24,49,25
649,284,0,11/10/86,7,12,26,33,37,48,21
649,285,0,15/10/86,10,21,24,25,39,49,23
649,286,0,18/10/86,8,29,32,39,43,45,49
649,287,0,22/10/86,3,16,34,36,45,48,13
